time_s,temperature_K,pressure_Pa,quench_active,NH3_mol,N2_mol,H2_mol,CO2_mol,CO_mol,H2O_mol,Fe_mol,FeO_mol,CN_mol,HCN_mol,H2S_mol,HS_mol,cumulative_H2_from_NH3_mol,cumulative_H2_from_Fe_H2O_mol,cumulative_N2_from_NH3_mol
0.0,2800.0,298875739.68200165,0,1.974396553951377e+23,0.0,0.0,9.997841375157636e+19,0.0,5.550843506179199e+22,1.0027755394395202e+20,0.0,0.0,0.0,9.976262363963394e+16,0.0,0.0,0.0,0.0
3158918918.918919,2797.4219963037053,298782973.49479043,0,2.9615948309270656e+22,8.391185354293352e+22,2.517573071340774e+23,9.99477394701211e+19,3.0674281455250716e+16,5.548668855651515e+22,7.85003743856638e+19,2.1777179558288204e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,2.1746505276832952e+19,8.391185354293352e+22
6317837837.837838,2794.8439926074107,298690208.2638366,0,2.9615948309270656e+22,8.391185354293352e+22,2.517675402805738e+23,9.993170945616121e+19,4.670429541515219e+16,5.547645541001874e+22,6.825119787529589e+19,3.2026356068656116e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,3.1979651773240963e+19,8.391185354293352e+22
9476756756.756758,2792.265988911116,298597444.4109573,0,2.9615948309270656e+22,8.391185354293352e+22,2.517764357247645e+23,9.991777420511201e+19,6.063954646435092e+16,5.546755996582802e+22,5.93418184335314e+19,4.093573551042061e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,4.087509596395626e+19,8.391185354293352e+22
12635675675.675676,2789.6879852148213,298504682.3577401,0,2.9615948309270656e+22,8.391185354293352e+22,2.51784168734707e+23,9.990565943325298e+19,7.275431832337923e+16,5.545982695588552e+22,5.159669371917227e+19,4.868086022477974e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,4.8608105906456355e+19,8.391185354293352e+22
15794594594.594597,2787.1099815185266,298411922.5255379,0,2.9615948309270656e+22,8.391185354293352e+22,2.5179089151688307e+23,9.989512690398026e+19,8.328684759609424e+16,5.5453104173709475e+22,4.486337901385029e+19,5.5414174930101715e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,5.533088808250561e+19,8.391185354293352e+22
18953513513.513515,2784.531977822232,298319165.3354621,0,2.9615948309270656e+22,8.391185354293352e+22,2.51796736274417e+23,9.988596965797855e+19,9.244409359780874e+16,5.5447259416175565e+22,3.900946423393516e+19,6.126808971001685e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,6.117564561641903e+19,8.391185354293352e+22
22112432432.432434,2781.9539741259373,298226411.2083767,0,2.9615948309270656e+22,8.391185354293352e+22,2.5180181785395234e+23,9.987800788243212e+19,1.0040586914424778e+17,5.544217783664022e+22,3.3919922923045646e+19,6.6357631020906365e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,6.6257225151762104e+19,8.391185354293352e+22
25271351351.351353,2779.3759704296426,298133660.564892,0,2.9615948309270656e+22,8.391185354293352e+22,2.5180623603791455e+23,9.987108533174972e+19,1.0732841982664434e+17,5.5437759652678e+22,2.949481641014338e+19,7.078273753380863e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,7.067540911398198e+19,8.391185354293352e+22
28430270270.27027,2776.797966733348,298040913.8253588,0,2.9615948309270656e+22,8.391185354293352e+22,2.518100775307284e+23,9.98650662247243e+19,1.1334752685206182e+17,5.543391815986417e+22,2.564730448928588e+19,7.463024945466614e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,7.451690192781405e+19,8.391185354293352e+22
