time_s,temperature_K,pressure_Pa,quench_active,NH3_mol,N2_mol,H2_mol,CO2_mol,CO_mol,H2O_mol,Fe_mol,FeO_mol,CN_mol,HCN_mol,H2S_mol,HS_mol,cumulative_H2_from_NH3_mol,cumulative_H2_from_Fe_H2O_mol,cumulative_N2_from_NH3_mol
0.0,2800.0,298875739.68200165,0,7.897586215805506e+22,0.0,0.0,9.997841375157636e+19,0.0,5.550843506179199e+22,1.0027755394395202e+20,0.0,0.0,0.0,9.976262363963394e+16,0.0,0.0,0.0,0.0
3158918918.918919,2797.6563602760957,298782973.45136607,0,1.1846379323708259e+22,3.3564741417173403e+22,1.0072801298619069e+23,9.993806184346375e+19,4.035190811260644e+16,5.5474646327121504e+22,6.64484673653571e+19,3.3829086578594914e+19,0.0,0.0,9.976262363963394e+16,0.0,1.0069422425152021e+23,3.378873467048231e+19,3.3564741417173403e+22
6317837837.837838,2795.3127205521914,298690208.13275677,0,1.1846379323708259e+22,3.3564741417173403e+22,1.007429462677229e+23,9.99172053191642e+19,6.120843241215195e+16,5.54597130455893e+22,5.149432930885413e+19,4.878322463509788e+19,0.0,0.0,9.976262363963394e+16,0.0,1.0069422425152021e+23,4.8722016202685735e+19,3.3564741417173403e+22
9476756756.756758,2792.969080828287,298597444.1471727,0,1.1846379323708259e+22,3.3564741417173403e+22,1.0075451571913341e+23,9.990104463966983e+19,7.736911190652355e+16,5.544814359417879e+22,3.990871721884801e+19,6.036883672510401e+19,0.0,0.0,9.976262363963394e+16,0.0,1.0069422425152021e+23,6.029146761319749e+19,3.3564741417173403e+22
12635675675.675676,2790.625441104383,298504681.9153726,0,1.1846379323708259e+22,3.3564741417173403e+22,1.0076348031098441e+23,9.988852118973989e+19,8.989256183646662e+16,5.543917900232779e+22,3.093160191792202e+19,6.934595202602999e+19,0.0,0.0,9.976262363963394e+16,0.0,1.0069422425152021e+23,6.925605946419353e+19,3.3564741417173403e+22
15794594594.594597,2788.2818013804786,298411921.8578688,0,1.1846379323708259e+22,3.3564741417173403e+22,1.007704272733279e+23,9.987881554205308e+19,9.959820952327331e+16,5.543223203998431e+22,2.3974933926747353e+19,7.630262001720466e+19,0.0,0.0,9.976262363963394e+16,0.0,1.0069422425152021e+23,7.620302180768139e+19,3.3564741417173403e+22
18953513513.513515,2785.9381616565743,298319164.39492106,0,1.1846379323708259e+22,3.3564741417173403e+22,1.0077581115526298e+23,9.987129319976573e+19,1.0712055181061637e+17,5.542684815804923e+22,1.858352964938105e+19,8.169402429457097e+19,0.0,0.0,9.976262363963394e+16,0.0,1.0069422425152021e+23,8.158690374276035e+19,3.3564741417173403e+22
22112432432.432434,2783.59452193267,298226409.9465299,0,1.1846379323708259e+22,3.3564741417173403e+22,1.007799839222171e+23,9.986546273221883e+19,1.1295101935751626e+17,5.542267539109511e+22,1.4404932227709614e+19,8.58726217162424e+19,0.0,0.0,9.976262363963394e+16,0.0,1.0069422425152021e+23,8.57596706968849e+19,3.3564741417173403e+22
25271351351.351353,2781.2508822087657,298133658.93243057,0,1.1846379323708259e+22,3.3564741417173403e+22,1.0078321817863095e+23,9.98609434391117e+19,1.1747031246463789e+17,5.5419441134681266e+22,1.1166156520758624e+19,8.911139742319339e+19,0.0,0.0,9.976262363963394e+16,0.0,1.0069422425152021e+23,8.899392711072876e+19,3.3564741417173403e+22
28430270270.27027,2778.9072424848614,298040911.7720868,0,1.1846379323708259e+22,3.3564741417173403e+22,1.0078572510509796e+23,9.98574403540341e+19,1.2097339754223757e+17,5.541693420821425e+22,8.655726968666406e+18,9.162182697528561e+19,0.0,0.0,9.976262363963394e+16,0.0,1.0069422425152021e+23,9.150085357774338e+19,3.3564741417173403e+22
31589189189.189194,2776.563602760957,297948168.8846851,0,1.1846379323708259e+22,3.3564741417173403e+22,1.0078766832427201e+23,9.985472490925862e+19,1.236888423177182e+17,5.541499098904021e+22,6.709792349848661e+18,9.356776159410337e+19,0.0,0.0,9.976262363963394e+16,0.0,1.0069422425152021e+23,9.344407275178566e+19,3.3564741417173403e+22
