time_s,temperature_K,pressure_Pa,quench_active,NH3_mol,N2_mol,H2_mol,CO2_mol,CO_mol,H2O_mol,Fe_mol,FeO_mol,CN_mol,HCN_mol,H2S_mol,HS_mol,cumulative_H2_from_NH3_mol,cumulative_H2_from_Fe_H2O_mol,cumulative_N2_from_NH3_mol
0.0,2800.0,298875739.68200165,0,3.948793107902753e+22,0.0,0.0,9.997841375157636e+19,0.0,5.550843506179199e+22,1.0027755394395202e+20,0.0,0.0,0.0,9.976262363963394e+16,0.0,0.0,0.0,0.0
3158918918.918919,2797.937597042964,298782973.3993104,0,1.382077587765964e+22,1.2833577600683946e+22,3.8529968315533e+22,9.994110852522225e+19,3.7305226354111896e+16,5.547919954831082e+22,7.100473523643068e+19,2.927281870752133e+19,0.0,0.0,9.976262363963394e+16,0.0,3.850073280205184e+22,2.923551348116722e+19,1.2833577600683946e+22
6317837837.837838,2795.8751940859283,298690207.9757309,0,5.923189661854129e+21,1.6782370708586702e+22,5.039264401318885e+22,9.991848963194644e+19,5.992411962991506e+16,5.546290317436324e+22,5.468574239557033e+19,4.5591811548381676e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760105e+22,4.553188742875177e+19,1.6782370708586702e+22
9476756756.756758,2793.8127911288925,298597443.8313923,0,5.923189661854129e+21,1.6782370708586702e+22,5.040442172197705e+22,9.990184138253378e+19,7.657236904257422e+16,5.545112546557504e+22,4.289138535796079e+19,5.738616858599122e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760105e+22,5.730959621694865e+19,1.6782370708586702e+22
12635675675.675676,2791.7503881718567,298504681.38617384,0,5.923189661854129e+21,1.6782370708586702e+22,5.041365730974585e+22,9.98887851618817e+19,8.962858969465894e+16,5.544188987780624e+22,3.364274136850886e+19,6.663481257544315e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760105e+22,6.65451839857485e+19,1.6782370708586702e+22
15794594594.594597,2789.687985214821,298411921.05969733,0,5.923189661854129e+21,1.6782370708586702e+22,5.042090022666566e+22,9.987854511674194e+19,9.98686348344186e+16,5.543464696088643e+22,2.638958440356079e+19,7.38879695403912e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760105e+22,7.37881009055568e+19,1.6782370708586702e+22
18953513513.513515,2787.625582257785,298319163.27132136,0,5.923189661854129e+21,1.6782370708586702e+22,5.042658087543081e+22,9.987051329452722e+19,1.0790045704914888e+17,5.542896631212128e+22,2.0700903816193757e+19,7.957665012775823e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760105e+22,7.94687496707091e+19,1.6782370708586702e+22
22112432432.432434,2785.563179300749,298226408.4401346,0,5.923189661854129e+21,1.6782370708586702e+22,5.043103651639262e+22,9.986421318462462e+19,1.1420056695175109e+17,5.5424510671159474e+22,1.623896274448787e+19,8.403859119946411e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760105e+22,8.392439063251239e+19,1.6782370708586702e+22
25271351351.351353,2783.5007763437134,298133656.9849497,0,5.923189661854129e+21,1.6782370708586702e+22,5.0434531492843395e+22,9.98592712239962e+19,1.1914252758017078e+17,5.54210156947087e+22,1.2739044333082632e+19,8.753850961086934e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760105e+22,8.741936708328921e+19,1.6782370708586702e+22
28430270270.27027,2781.4383733866775,298040909.3242971,0,5.923189661854129e+21,1.6782370708586702e+22,5.043727303817027e+22,9.985539450910292e+19,1.2301924247345798e+17,5.541827414938182e+22,9.993622291314172e+18,9.02839316526378e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760105e+22,9.01609124101644e+19,1.6782370708586702e+22
31589189189.189194,2779.3759704296417,297948165.8764181,0,5.923189661854129e+21,1.6782370708586702e+22,5.04394236400885e+22,9.985235335116058e+19,1.2606040041581165e+17,5.541612354746359e+22,7.839979215135874e+18,9.24375747288161e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760105e+22,9.231151432840035e+19,1.6782370708586702e+22
34748108108.10811,2777.313567472606,297855427.0592595,0,5.923189661854129e+21,1.6782370708586702e+22,5.044111071806082e+22,9.98499676153459e+19,1.2844613623048042e+17,5.541443646949127e+22,6.150515506998438e+18,9.412703843695354e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760105e+22,9.399859230072311e+19,1.6782370708586702e+22
37907027027.02703,2775.25116451557,297762693.29046655,0,5.923189661854129e+21,1.6782370708586702e+22,5.044243420158653e+22,9.98480960189276e+19,1.3031773264877573e+17,5.541311298596556e+22,4.825160384868598e+18,9.545239355908338e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760105e+22,9.532207582643465e+19,1.6782370708586702e+22
41065945945.94595,2773.188761558534,297669964.98737764,0,5.923189661854129e+21,1.6782370708586702e+22,5.0443472467037834e+22,9.98466277448055e+19,1.3178600677087826e+17,5.541207472051426e+22,3.785426659446677e+18,9.64921272845053e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760105e+22,9.636034127773447e+19,1.6782370708586702e+22
44224864864.86487,2771.1263586014984,297577242.56701756,0,5.923189661854129e+21,1.6782370708586702e+22,5.044428699003076e+22,9.98454758678973e+19,1.3293788367908237e+17,5.5411260197521334e+22,2.969751789612351e+18,9.730780215433961e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760105e+22,9.71748642706606e+19,1.6782370708586702e+22
47383783783.78379,2769.0639556444626,297484526.4460915,0,5.923189661854129e+21,1.6782370708586702e+22,5.044492599212398e+22,9.984457220151055e+19,1.3384155006583168e+17,5.541062119542811e+22,2.32984602999915e+18,9.794770791395282e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760105e+22,9.781386636388706e+19,1.6782370708586702e+22
50542702702.702705,2767.0015526874267,297391817.0409793,0,5.923189661854129e+21,1.6782370708586702e+22,5.044542729978434e+22,9.984386325635488e+19,1.3455049522150134e+17,5.541011988776775e+22,1.8278294244805005e+18,9.844972451947146e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760105e+22,9.831517402425003e+19,1.6782370708586702e+22
53701621621.62162,2764.939149730391,297299114.76772916,0,5.923189661854129e+21,1.6782370708586702e+22,5.044582058611769e+22,9.984330707160608e+19,1.3510667997029632e+17,5.54097266014344e+22,1.4339869063895795e+18,9.884356703756239e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760105e+22,9.870846035759215e+19,1.6782370708586702e+22
56860540540.54054,2762.876746773355,297206420.0420517,0,5.923189661854129e+21,1.6782370708586702e+22,5.0446129128830715e+22,9.98428707296008e+19,1.3554302197558274e+17,5.540941805872138e+22,1.125007851355434e+18,9.915254609259653e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760105e+22,9.9017003070621e+19,1.6782370708586702e+22
