time_s,temperature_K,pressure_Pa,quench_active,NH3_mol,N2_mol,H2_mol,CO2_mol,CO_mol,H2O_mol,Fe_mol,FeO_mol,CN_mol,HCN_mol,H2S_mol,HS_mol,cumulative_H2_from_NH3_mol,cumulative_H2_from_Fe_H2O_mol,cumulative_N2_from_NH3_mol
0.0,2800.0,298875739.68200165,0,3.948793107902754e+23,0.0,0.0,9.997841375157636e+19,0.0,5.550843506179199e+22,1.0027755394395202e+20,0.0,0.0,0.0,9.976262363963394e+16,0.0,0.0,0.0,0.0
3158918918.918919,2797.937597042964,298782973.3993104,0,5.923189661854131e+22,1.6782370708586705e+23,5.0348122100055206e+23,9.996205487272046e+19,1.6358878855913006e+16,5.549833531884108e+22,9.016145211418937e+19,1.0116101829762654e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760115e+23,1.009974295090674e+19,1.6782370708586705e+23
6317837837.837838,2795.8751940859283,298690207.9757309,0,5.923189661854131e+22,1.6782370708586705e+23,5.034864242604766e+23,9.995322376657807e+19,2.5189984998303784e+16,5.549313205891655e+22,8.494936108352012e+19,1.5328192860431907e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760115e+23,1.5303002875433603e+19,1.6782370708586705e+23
9476756756.756758,2793.8127911288925,298597443.8313923,0,5.923189661854131e+22,1.6782370708586705e+23,5.034913262685375e+23,9.994490386002913e+19,3.3509891547238424e+16,5.5488230050855645e+22,8.003903311606343e+19,2.023852082788859e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760115e+23,2.0205010936341357e+19,1.6782370708586705e+23
12635675675.675676,2791.7503881718567,298504681.38617384,0,5.923189661854131e+22,1.6782370708586705e+23,5.034959445178327e+23,9.993706547914321e+19,4.134827243316193e+16,5.548361180156044e+22,7.541294543996974e+19,2.4864608503982293e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760115e+23,2.4823260231549137e+19,1.6782370708586705e+23
15794594594.594597,2789.687985214821,298411921.05969733,0,5.923189661854131e+22,1.6782370708586705e+23,5.0350029547987964e+23,9.992968068175151e+19,4.873306982485791e+16,5.547926083951351e+22,7.105459859564923e+19,2.92229553483028e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760115e+23,2.9174222278477947e+19,1.6782370708586705e+23
18953513513.513515,2787.625582257785,298319163.27132136,0,5.923189661854131e+22,1.6782370708586705e+23,5.03504394664924e+23,9.992272315534341e+19,5.569059623295246e+16,5.5475161654469176e+22,6.694845602490816e+19,3.332909791904387e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760115e+23,3.3273407322810925e+19,1.6782370708586705e+23
22112432432.432434,2785.563179300749,298226408.4401346,0,5.923189661854131e+22,1.6782370708586705e+23,5.035082566786155e+23,9.991616812109904e+19,6.224563047731325e+16,5.547129964077768e+22,6.3079887299165135e+19,3.71976666447869e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760115e+23,3.713542101430959e+19,1.6782370708586705e+23
25271351351.351353,2783.5007763437134,298133656.9849497,0,5.923189661854131e+22,1.6782370708586705e+23,5.0351189527527776e+23,9.990999224367633e+19,6.842150790001797e+16,5.546766104411538e+22,5.943511475944984e+19,4.0842439184502194e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760115e+23,4.077401767660219e+19,1.6782370708586705e+23
28430270270.27027,2781.4383733866775,298040909.3242971,0,5.923189661854131e+22,1.6782370708586705e+23,5.0351532340798396e+23,9.990417354639594e+19,7.424020518040826e+16,5.546423291140918e+22,5.600116335596955e+19,4.427639058798248e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760115e+23,4.420215038280208e+19,1.6782370708586705e+23
31589189189.189194,2779.3759704296417,297948165.8764181,0,5.923189661854131e+22,1.6782370708586705e+23,5.03518553275636e+23,9.989869133149096e+19,7.972242008539746e+16,5.546100304375713e+22,5.276581348901649e+19,4.751174045493554e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760115e+23,4.743201803485016e+19,1.6782370708586705e+23
34748108108.10811,2777.313567472606,297855427.0592595,0,5.923189661854131e+22,1.6782370708586705e+23,5.035215963672327e+23,9.989352610510984e+19,8.488764646651696e+16,5.545795995216047e+22,4.971755666597045e+19,5.055999727798158e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760115e+23,5.0475109631515075e+19,1.6782370708586705e+23
37907027027.02703,2775.25116451557,297762693.29046655,0,5.923189661854131e+22,1.6782370708586705e+23,5.0352446350349915e+23,9.988865950678132e+19,8.975424479503374e+16,5.545509281589403e+22,4.684555380120747e+19,5.343200014274456e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760115e+23,5.334224589794954e+19,1.6782370708586705e+23
41065945945.94595,2773.188761558534,297669964.98737764,0,5.923189661854131e+22,1.6782370708586705e+23,5.0352716487603974e+23,9.988407424306862e+19,9.433950850773096e+16,5.545239144335347e+22,4.413959599692945e+19,5.613795794702258e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760115e+23,5.604361843851486e+19,1.6782370708586705e+23
