time_years,temperature_K,cold_trap_factor,olr_W_m2,H2_flux_m-2_s-1,crossover_mass_kg_per_particle,crossover_mass_amu,atomic_N_photolysis_fraction,N_drag_active,Ar36_drag_active,Rayleigh_active,water_kg,D_H,N_kg,Ar36_kg
0.0,2800.0,0.05000000065485749,280.0,4.639499134516127e+20,9.37546069139441e-22,564603.1225622032,0.5487253895922134,1,1,1,1.3174064038751246e+22,0.00014739336783243034,2.35e+21,5000000000000000.0
100.10010010010011,2797.4219963037053,0.05000000067195924,280.0,4.6163364312024325e+20,9.373301920359055e-22,564473.1184047994,0.5477621603374135,1,1,1,1.317400413933071e+22,0.00014739343484895142,2.3457173333174764e+21,4999455795430026.0
200.20020020020021,2794.8439926074107,0.0500000006895076,280.0,4.5932893677044256e+20,9.371141656723226e-22,564343.0243609444,0.5468005925582995,1,1,1,1.3173944359708973e+22,0.00014739350173177367,2.341434086896191e+21,4998908919823903.0
300.3003003003003,2792.265988911116,0.05000000070751424,280.0,4.57035736669023e+20,9.368979898076696e-22,564212.8402854913,0.5458406831378491,1,1,1,1.3173884699646441e+22,0.00014739356848116316,2.3371502804473985e+21,4998359360371963.0
400.40040040040043,2789.6879852148213,0.050000000725991124,280.0,4.5475398537102977e+20,9.366816642003112e-22,564082.5660329238,0.5448824289627091,1,1,1,1.3173825158903996e+22,0.00014739363509738544,2.3328659336765293e+21,4997807104206125.0
500.50050050050055,2787.1099815185266,0.05000000074495054,280.0,4.524836257183024e+20,9.36465188607999e-22,563952.2014573567,0.5439258269231741,1,1,1,1.3173765737242998e+22,0.0001473937015807055,2.3285810662828619e+21,4997252138399662.0
600.6006006006006,2784.531977822232,0.050000000764405084,280.0,4.502246008380421e+20,9.362485627878669e-22,563821.7464125326,0.542970873913164,1,1,1,1.3173706434425282e+22,0.00014739376793138786,2.3242956979592005e+21,4996694449966962.0
700.7007007007007,2781.9539741259373,0.05000000078436769,280.0,4.4797685414138806e+20,9.36031786496431e-22,563691.2007518223,0.5420175668302024,1,1,1,1.3173647250213164e+22,0.00014739383414969648,2.3200098483915525e+21,4996134025863293.0
800.8008008008009,2779.3759704296426,0.05000000080485162,280.0,4.45740329321999e+20,9.358148594895858e-22,563560.5643282221,0.5410659025753951,1,1,1,1.3173588184369432e+22,0.00014739390023589478,2.315723537258807e+21,4995570852984564.0
900.900900900901,2776.797966733348,0.05000000082587049,280.0,4.4351497035464344e+20,9.355977815226046e-22,563429.836994354,0.5401158780534078,1,1,1,1.317352923665735e+22,0.00014739396619024565,2.3114367842324164e+21,4995004918167089.0
1001.0010010010011,2774.2199630370533,0.05000000084743828,280.0,4.413007214937957e+20,9.353805523501339e-22,563299.018602463,0.5391674901724444,1,1,1,1.3173470406840653e+22,0.00014739403201301156,2.3071496089760776e+21,4994436208187345.0
1101.1011011011012,2771.6419593407586,0.050000000869569315,280.0,4.3909752727223966e+20,9.35163171726194e-22,563168.1090044166,0.5382207358442247,1,1,1,1.3173411694683552e+22,0.00014739409770445438,2.3028620311454155e+21,4993864709761737.0
